,댓글,예측,실제
4680,12번 사진은 장애인임,0,1
4695,덩남아 냄시,0,1
4703,앞으로 향후 백년이상 방사능 황사를 마시고 살아야하는 운명방사능황사에대한 피해보상책임이 있는 중국한테는 중국몽이라고 찬양하고일본한테만 피해보상하라고 언론쇼하는 좌파,0,1
4713,로봉순같이 생깃노,0,1
4749,위성 통신병 어떰,1,0
4759,원래도 못생겼는데 점점 못생겨지는것 같노,0,1
4760,미쳤나 존나 ㄱㅇㅇ,1,0
4779,뒷구녕으로 설득 작업 존나 했겟지,0,1
4784,머리개크다 합성인줄,0,1
4806,여자가 조신하지 못 하니,1,0
4808,이해 해줘라 문재앙 까면 방송출연 다막히는데,0,1
4827,누구한테 실망했노이기,1,0
4831,대일본제국의 신민이였어야 됐다 독립은 잘못됐어,0,1
4832,"국이 너 분신하면 ㅇㅈ
ㅇㅋㄱㄱ",0,1
4849,그럼 뭐해 하는프로그램마다 시청률 폭망에 조기종영,0,1
4852,거의 개슬람 점조직 테러가 미국 흑인한국 전라도 홍어들 주도로 선거를 계기로 동시다발적으로 발생했다고 봐도 충분히 납득이 됨,1,0
4864,감옥 갔다오면 끝인거지 한국식 떼법 ㅁㅈㅎ,0,1
4866,그러게 우편투표를 왜허용해가지고 ㅅㅂ,1,0
4872,중국돈 몇푼에 나라팔 흑인 ㅇㅈ,0,1
4873,교통사고로 죽은 우리 작은 할배도 살려내 씨발 정부야,1,0
4882,내가 볼때 대깨호가 문재임 ㅋㅋㅋㅋ,1,0
4894,그건 언론사 피셜이고 경찰은 어떻게 검거했는지 공개한 적이 없어어쨋든 본캐 동원 ㅁㅈㅎ 박는다,0,1
4916,Big sleep죽음,0,1
4928,나도 전주 사람인데 홍어는 절대 못먹겟더라,0,1
4930,당신은 사랑받기위해 태어난 사람,1,0
4935,"무슨 증거가 없어 3가지 명시했는데술 처먹고 소란 피워서 출동한 경찰 패서 생긴 폭행죄성추행한거 아니라고 어거지
사망 사건 현장에 이근이 있는것도 팩트자 이제 니가 주장하는 뇌피셜을 씨부려봐",0,1
4936,이거보고 딸근머위 지지한다,0,1
4950,능지 모자라노저런 소수의 짓을 가지고이분법 프레임을 씌우는 페미들이 이상하다고는 생각 안해보냐니 논리면 범죄 저지른 한국인들때문에 혐한한테 피해봐도 할말 없어야 하는데니 대학 어디 나왔노,0,1
4962,문재앙 믿고 따라가면 니 아버지 월북자 되고 그냥 뭉개질텐데국제사회 UN 웜비어 야당이든 연대해서 문재앙 책임을 물어야 바로 잡히는 싸움이다,0,1
4970,개빡치내 이거 ㄹㅇ,0,1
4982,브라이언 박 목사 간증 l 저는 돈 많고 세상에서 성공한 쓰레기였습니다httpswwwyoutubecomwatchv8w6h33UxBTE,0,1
4984,진짜 까불게 생겼다,0,1
5016,그래서 끈기를 가지고 북한을 풍요롭게 했냐 1발,0,1
5021,아씨바 질투나서 ㅁㅈㅎ 3,0,1
5046,애국보수 문재인 북괴 쓸어담으러 가자,0,1
5075,진시황 애미디졌다는 소식 들었어 ㅠ,0,1
5077,저 버스를 탄사람들이 문제지,0,1
5104,난 알몸이야 내 몸을보고 싶지 않냐,0,1
5107,사라무니 아니무니다,0,1
5108,무서워서 못박겠다 존나박다가 저거 풀리는 순간 호되게 당할듯,0,1
5120,아니 못생기년이 왜캐 갑질함어리지도 않고 비율좋지도 않는데 왜캐 깝치지구설수에 오를수 있는 방법이 갑질뿐이라서 그런ㄱㅏ,0,1
5131,뭐래 저거 개 그지같은데,0,1
5134,건축법 쌩까고 맘대로 증축하면 누가 신고하고 건물 짓냐이행강제금 산출때 징벌배율로 한 1000프로 먹여서 존나 때려야함,0,1
5138,진짜 젓같네,0,1
5148,이젠 지가 휘어진 휠 들고 가서 손해배상 청구하는 놈들도 나올 차례임너도 통수 나도 통수 모두 통수,0,1
5162,포기 뭔개소리,1,0
5170,존나게 축하한다 이쁘게 잘키워라 ㅁㅈㅎ헤헤 ㅇㅂ,0,1
5174,이게 백퍼 짱개 주작인게한국하고 미국 투표조작 방식이 비슷함짱개가 아니고서야 두 나라에서 동일한 방식으로 주작질 할수있는 외부세력이 없음,0,1
5185,중국인을 죽여도 무죄인 이유,0,1
5247,주작 같은데 배터리 어떻게 충전 하며 꽃 드려놨을때 존나 수상한데 그걸 몰랐다고,1,0
5257,너 뭐하는게이냐진심 궁금해서묻는다,0,1
5258,그래도 지능은 재앙이보단 훨씬나음,0,1
5264,거기다 가장은 정년 앞둔 교감 or 교장이나 공무원퇴직금 쩔고 연금보장 장난 없음막내삼촌은 철없는 백수근데 찰떡궁합만나서 결혼 어디서 났는지 모르겠지만 가게하나 차리고 알콩달콩 애도 낳음성깔 까탈스런 장남은 대기업초년생 혹은 검사 혹은 변호사하필 그런 장남을 사모하는 여자는 재벌 딸 or 검사장 법원장 딸집안의 분위기 메이커 사고뭉치 차남은 알고보니 sky걔 여친도 집안이 쩔거나 얼굴이 ㅅㅌㅊ숫기없고 사춘기인 삼남은 알고보니 전교 5공부만 하는 거 같은데 여친이 있음가끔씩 얼굴 내비치는 노처녀 장녀는 잘나가는 디자이너거나 기획실장얘도 재벌남이랑 썸타는 중 나중에 재벌남이 함지고 4억짜리 2층주택에 찾아오는 걸 볼수 있음,1,0
5274,아이린머구의 수치ㅉㅉㅉ,1,0
5287,나도 궁금해서 그랬는데 나무들이 주는 물이라더라 ㅋㅋ 근데 계곡물에 병균 존나많아서 먹으면안됨 민물이여도오히려 소금기있는 바닷물이 더깨끗함ㅋㅋ 염분있는곳에 세균이 못살아서,0,1
5290,그러면서도 전혀 고마워하지 않는 바퀴들임,0,1
5295,종전선언 쳐돌았니 무고한 우리국민 하나 죽어나가는거 니한텐 아무것도 아니지,0,1
5298,중국으로 꺼져,0,1
5305,부정선거 밝혀지면 한국부정선거도 밝혀지고 경욱게이 부활하고 전광훈목사도 누명벗을거다,1,0
5338,됐어 ㅆㅂ놈들다나가혼자있고 싶다,1,0
5340,우리나라는 인육처먹어도 사형 아님 오늘 처음 알았네ㅋㅋ,0,1
5345,개미친놈이네 소름돋앗슴,1,0
5378,문쪽 여자는 아직 빨기 전 자세 잡고 있는거네 뒤에 둘은 먼저 시작했고,0,1
5405,교토랑 경주랑 비교부터 병센같은거다근본이다름,1,0
5413,시발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0
5429,아마 엠창인생을 살고있을듯,0,1
5438,박성광은 결혼도 했는데 지들이 뭐라고 여기서 깽판침 잼민이냐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1
5448,콩밥이 아까운뎅,0,1
5450,중세 유럽엔 똥오줌도 다 창밖으로 던졌다던데 ㅋㅋ,1,0
5455,공부못하면 뉴스도 읽지마라 이해도 못할꺼 뭐하러 읽노 ㅉㅉ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1
5475,아들놈 쥬지가 그리도 크고 위대한데 아빠로써 대통령 안된다고 대수냐 아들놈 쥬지에 박힘을 당하려고 줄선 미성년 보지에 노망난 쭈그렁 쥬지 박아대면 이게 대통령보다 위대한 천국이다 이기야,0,1
5480,진짜 왜 저래 미친,0,1
5511,개때리고 싶다 진짜,0,1
5524,오원춘이랑 같은 방에 넣으면 재밌겠네칼 한자루 넣어주고 씨발 ㅎㅎ,1,0
5532,역사왜곡전문가를 전국민이보는 공중파에서 매주 주말 황금시간 방송내보내겠노 머가리가달렸으면 생각을좀해라게이야,0,1
5533,어차피 살새끼들은 다 사게되어있음수요가 있으니 공급이 있는거고시장원리가 그런거라 별 문제는 안되는데 자꾸 환경 이딴 개소리로 합리화하면서포장을 해대니까 그게 문제지,1,0
5537,어둠을 견뎌내 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 무지의 산물이네 충청도 라도 제2부대많음,0,1
5547,니가 왜 거기서 나와아,1,0
5558,너땜에 안돼 십색걍,0,1
5574,원래 미쳐찌 않냐,0,1
5581,가지가지한다 예능도 그대로 배끼면서,0,1
5588,대박 ㅅㅂ,1,0
5602,노알라후 아크바릌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1
5614,전작권 전환 해달라고 떼쓰러 재앙이가 보냈겠지ㅋ,0,1
5615,네트워크 플레이하면 딴놈집에도 난입가능하지 않을까 싶기도 하고,0,1
5637,쟤 뿐만 아니라 딴 년놈들도 많아게네들도 다같이 몰아 갈아버리든지 해야지,1,0
5639,남자가 금색 샌달을 신을리는 없자냥,1,0
5640,느금마는 난자가 없던데,0,1
5655,저런 운지유튜버 널리고 널리지 않았냐반짝 뜨고 다시 사라지는 사람들 많다,0,1
5658,야 씨발 김사랑이 뭔 죄냐 어인터넷이라고 막말하는거 아니다 에헴,1,0
5676,아무나 박아달라고 사정하는년들도 일게이한테는사정 안하지 ㅠㅠ,0,1
5699,박식한 게이 ㅇㅂ,0,1
5700,반일 정신병,1,0
5705,백수래요 얼레리꼴레리,1,0
5707,졸커엽 닥ㅇㅂ,0,1
5709,바이든이 거의 5백만표 더 받았는데 뭔 개소리여재검표하면 바이든이 표 더 나올듯트럼프가 현직 대통령인디 말이 되는 소리를 해야제문재인이 이번 선거에서 싹쓸이 한게 국민의 힘 쉐끼들 선거 부정때문이라는 소리랑 논리가 같다 등신아,1,0
5717,바로 밑에 한 새끼 왔노 이기,1,0
5742,와 미친 진짜 대박이다 이건카드 vvip카드에 이름까지 진짜네 ㅇ미친,0,1
5767,아내눈 버렸노,0,1
5774,앗 미안,1,0
5782,뭔 씨발 뜬금없이 고소드립은 뭐임,1,0
5786,이게 맞다 자지랑 똥구멍이 사진에 보였다면 포함되어야 맞으니 변호사에게 계산해달라고해라,0,1
5801,ㅋㅋㄲㅋㅋ 아직 더 깨져봐야지ㅋㅋㅋㅋ,1,0
5815,노예가 되고싶다,1,0
5820,진짜 미국 증인보호프로그램처럼 우리나라 국정원도 이런 내부고발자 보호프로그램 있어야한다고 본다이렇게 북괴조직실체 낱낱히 까발려준 산 증인을 방치해도 되는거냐,0,1
5865,여친있을때 내가 알바하는데서 꽤이쁜 갓스물짜리 여알바생이 눈에 들어오더라 그래서 알바하면서 친해지고 번호따고 연락하다가 처음 사적으로 만난 토요일밤에 떡침서로 둘다 혼자사는중이니까 술먹고 2차로 둘중 한집으로 가자고 내가 제안했고 내집 보고싶다해서 술안주 사들고 내원룸행 원룸에서 그때 아형보다가 둘다 웃겨서 웃을때 내가 기회다싶어 일부러 여자애를 팔로 덮어버림 웃겨서 뒤집힌척 그랬더니 여자애가 순간 당황하길래 그대로 키스퍼붓고 갈데까지 감결국 이때 여알바생이 내 현여친쓰,0,1
5870,참관인이 그 짱ㄲㅐ 의용대였으니,1,0
5873,서초구 하면 떠오르는 단어법률 변호사돈좀 있는 놈들대가리에 먹물좀 쳐 먹은 놈들과연 서민을 위한 것일까아니면땅크같은 개소리하고 자빠졌네,1,0
5884,응 프랑스 이슬람 인구 600만흑인 400만흑니거이슬람 1000만명 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ응 이미 나라 먹혔어,0,1
5891,좌파는 빠른 손절이 개이득,0,1
5893,오늘 신년사 핞은 국민들 허탈하고 좌절시킬줄 아시는지요,1,0
5897,백팔번뇌봉이라고 말하고싶었던게 아닐까틀렸지만,0,1
5966,사과문 지웟네ㅋㅋ 역겹네요,0,1
5967,난 헬기는 시간이 안맞아서 경비행기 탔는데 쉬벌 넘 재미있네 기장이 뇨자,0,1
5971,보만대장경 ㅇㅂ,0,1
5993,선동이 성공적으로 먹히자 신난 문성근의 모습,0,1
6002,당신은 사랑받기위해 태어난 사람,1,0
6018,이념전쟁에서 적당히 ㅋㅋㅋㅋ멍청한 쥐박이 잘가라,0,1
6029,ㄹㅇ 예전엔 이런거보면 화났는데 이제는 그냥 조선에선 너무 당연한것들이라 그러려니 함 이 근본도없는 미개한 유사국가는 무조건 뜨는게 답임 남자들과 군인들을 개돼지 취급하는나라는 애국심을 받을 자격도 없음,1,0
6055,익명 아그야 너도 적어도 20대 후반이겠구나윤종신 앨범도 소장하고있고게이야 오늘 하루도 힘차게 보내자,0,1
6077,깜쳐도 해외응디는 가능 법적으로 뭐라 조질 이유가 없음 국내게이들만 ㅈ됨,1,0
6087,공허함 허탈함 밀려오는 감정 폭풍 어떻게 감당할까 sns 처 올리는 씹관종 연예인들은 반성 해야된다 저 아버지께 따듯한 말 한마디 주변에서 많이 자주 해주면 좋겠다,0,1
6101,사 라 져,1,0
6103,시발아 난 마눌한테 일베한다하면 뭔 말인지 모른다,1,0
6120,차라리 국회를 없애고 국정을 위한 법안들은 국민투표로 했으면 좋겠어요선거때마다 외쳐대는 국민을 위한 정치는 개뿔 국개의원들한테 지불되는 봉급으로 차라리 하급공무원들을 대폭 늘리는게 더 효율적인듯요,0,1
6133,익명 팬티를 삶고 라면을 끓였다고 했으니깐 물을 끓였다는거 아니노ㅋㅋ팬티를 외출 전에 삶아놓고 나갔다가 부으면 다시 끓일 필요가 없지아니면 다시 들어와서 외출전에 담아 놓기만 하고 삶을 이유도 없고ㅋㅋ그니깐 고로 물만 끓여서 팬티에다사 부은거ㅇㅇ,0,1
6167,충청도가 제2의 전라도 된지가 언젠데 그런 소리노 ㅋㅋ충청도 대표도시 머전은 지금 시장 국회의원 구청장 시의회 구의회까지 모두 민주당이 석권했다솔까 나이 60넘은 토박이 어르신들 정도야 니말대로 전형적인 충청도 성향 가지고있지요새 충청도 젊은놈들은 그냥 전라도 수도권 문빠들이랑 똑같다고 보면 된다,0,1
6169,귀척 김냄국,1,0
6171,레이디버그그 귀한걸엘리자베스 따먹고싶다 나두,0,1
6172,근데 애국노인네가 그룹섹스매니아인 건 좀 깨지,1,0
6176,ㅋ우리나라도 저럴고갗은대 으,1,0
6183,ㅈ까는소리 하지마세용,0,1
6191,중요한고비면 자리에서 내려와 박근혜정부나 니나 ㅉ,1,0
6196,한국의 부정선거가 결코 한국만의 문제가 아니었다미국이 한국의 부정선거에 대해 완벽히 알고 있으면서도 모르는척 하더니이게 뭔가 똑같이 당하지 않았나지금이라도 언론 정치인 지식인 년놈들은 정신차려라이게 결코 일부 자유우파만의 문제가 아니다,1,0
6199,대깨들은 기꺼이 중공 짱개들한테 더 내겠다고 할듯 ㅎ,1,0
6209,딸치는데 까지 몇일이 걸릴까 갑자기 궁금하네 부인일은 애도한다,0,1
6218,화장실 냄새를 음식 향으로 별미로 즐기는게 이해가 안감 맛있는 소스가 널려있는데,0,1
6223,문재인 더불어 민주당 전체의원들 장관들 청와대 비서진들과 북한 김정은의 똥구멍이나 핥아라 너희들은 이완용보다 더한 매국노다,0,1
6230,인방충은 ㅁㅈㅎ,0,1
6244,미친거 아냐 27,0,1
6274,이게 레알임ㅋㅋ 우리형 약국 하는데 개업할때 갓수 생황할 때라 매일 가서 잡무 거들었거든ㅋㅋ 진짜 깜짝 놀란게 박카스 비타500 같은 네임드 드링크 한병 팔면 5원 남는다 더라ㄷㄷ 50원이 아니라 5원ㅋㅋㅋㅋㅋ 그런데 생생톤인가 그 박카스 유사 드링크 있는데 정확히 기억은 안나지만 이건 마진률이 50가 넘었음ㅋㅋ 브랜드 미조제 의약품은 진짜 거의 서비스피도 안남을 만큼 마진률 더럽게 짠데 유사 네임드 없는 약들은 진짜 오지게 많이 남음ㅋㅋㅋㅋㅋ,1,0
6278,혁신ㅋㅋㅋ ㅈㄴ 혁신적이긴하지 지금,0,1
6280,넌 개소리인데 신해철 인간미랑 천재 맞음,1,0
6281,연장 휘두른 놈은 반장급맞은사람은 평사원막대기 날아드는거 손으로본능적인막다가 부러짐,0,1
6304,ㅇㅇ 홍준표 대표적 간잽이임국해에 홍씨들이 유독 많음 특히 저짝동네에,1,0
6321,더불어 민주당 마인드가 딱저럼ㅋㅋㅋ 내아이는 중요하고 니아이는중요하지않자나이마인드임 ㅋㅋ 강한 자격지심 나는해도된다 이런 의식이랑 겸으로 선민의식 유교사대의식도 전라디언 더불어강간당 트레이드마크임,0,1
6330,이름 안정엽이라고 나오잖아 새꺄,0,1
6331,의도적으로 뼈를 잘 바른 시체의 의도를 묻는거잖아물고기를 난도질하지 않고 식용으로 먹으려면 저렇게 반듯하게 썰듯이오원춘이 살육한 시체도 저렇게 뼈가 잘 발렸다는 뜻이라고,0,1
6339,나도 조교 죽이고 싶다는 생각 몇번 들었는데몇년 지나고 보니까 니말처럼 온갖 잡쓰레기 사고 없이 굴릴려면빡쌔게 갈궈야 할것같음훈련소부터 좋은게 좋다고 풀어주면 개판될께 뻔함,0,1
6344,사회가 비정상이라서 반 사회적인 새끼들이 정상처럼 들리는 이상한 세상임,1,0
6348,35살인데 머리가 왜저래,0,1
6358,댓글 존나 사이다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 레알 좀 뜬다 싶으면 다 지들거래ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0
6363,인간의 정해진수명은 게놈프로젝트로 다 밝혀졌는데 개소리하노 ㅋㅋ 40세면 모두 수명 다해 뒤져야됨,1,0
6374,1500만개 생산이면미국인구가 3억인데 턱없이 모자르지1억개 생산해도 13인데 미국인구의당장 미국도 못맞는데 한국은 택도 없지그리고 미국인 대상으로 임상실험한거라서 똥양인한테 안맞을수도 있음,1,0
6379,그 때 그시절룰라 짱짱,1,0
6393,기껏 한다는 소리가 주작아님 ㅎㅎ이거 봤냐 httpsmilbecomview11297967455page5호구떨지말고 딸이나치세요,0,1
6429,개 극혐이다 언팔 합니다,1,0
6450,뇌가 없네가장 우선 순위가 백혈평 피해자들에게 가야 할 몫인데그 돈을 건물 짓는데 쓴 걸 옹호하고 있네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1
6453,조선인들 이런거 보고 일뽕이니 뭐니 ㅂㄷㅂㄷ 하지 말고 걍 현실을 담백하게 받아들였으면 좋겠다,0,1
6486,느금마가 실수로 감옥가도 똑같은 소리해라,0,1
6503,ㄷ ㄷ ㄷ ㄷ 대단하노 각오가 ㅎㅎ뭐 암튼 ㅊㅋ한다 외모컴플렉스 탈출한거 난 걍 이렇게 찌질하게 살다 뒤질란다 ㅎㅎ,1,0
6517,너무 돈좀 그만 밝히시면 좋겠어요방송보다가 보면 채널 돌려버리고 싶어요,0,1
6518,ㅉㅉ 뭐 ㅋㅋ그럴줄알았다,0,1
6524,글쓴게이말대로 된다고해도트럼프가 바이든을 감방에 보내는 일은 없을거다정상적으로 선거인단 확보한식으로해서 조용히물러가게 확 가능성이 높고 대신 바이든이 가진중국과의 거래증거를 확보한다음 뒤로 중국을 조지는게훨씬 무리없는 방법임민주당 지지자들도 자신들이 짱개한테 놀아났다는수치보다는 단합된 아메리카라는 긍지아래 살아가는게계산상 나으니까그냥 나같으면 그렇게 할것 같다고 ㅋㅋ,0,1
6533,뭔 시진핑이랑 바이든이 69섹스하는 소리를 하고 앉았어,0,1
6534,최민식 저거지금껏 한 영화 보면 존나 쎄함아마 조재현 마냥 캐보면 미투 수두룩하게 나올거다,1,0
6561,영어 잘하노 게이야 ㅇㅂ,0,1
6570,업체공개하라구 이젠 실명제 도입해야되자나 다른잘하는업체들 협력업체들 된서리맞지않게 기렉쓰야,0,1
6574,저 팬션 주인이 진짜 사업마인드가 있다면 오히려 고유정 살인사건 팬션으로 홍보해서 귀신 체험 하고 싶은 새끼들 상대로 장사했겠지,1,0
6580,내가 언재 대통령을 깠는데 이 놈아,1,0
6583,조선말 그자체,0,1
6590,상등신반역매극노넌반드시 아웃될거야,0,1
6599,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ존나 참을 수가 없다,0,1
6608,뭔 개소리야 뇌물 달라는거 아니냐,0,1
6609,부럽네 너도 대달라하셈,0,1
6612,너 줒되라고 ㅇㅂ 누른애들 숫자봐라,0,1
6617,빡빡이 아저씨 발가락감각 살아있네,1,0
6648,어느 한 네티즌일게이,1,0
6653,그냥 애 클때까지만 남자참고 못견디냐 지 애 저리만든놈이랑 어울리면 엄마란 뇨 온도 뻔하다 아이가 불쌍하다,0,1
6663,멘헤라쨩 일베충이었노,0,1
6669,그래도 수컷자지는 항상 모자이크 하는게 좋을듯,0,1
6679,늙은이들 뼈맞고 존나 아파하노 ㅋㅋㅋㅋ,1,0
6697,애비도 차옆에 세워두고 같이 인증해라ㅅㅂㄹㅁ,1,0
6712,쟤 신곡내고 댓글 막아놨던데 ㅋㅋㅋ어차피 운지야 쟤회생 타이밍는 이미 지남,0,1
6717,어휴집주인집을 담보로 무이자로 목돈을 받음 은행보다 좋음세입자매달 꼬박꼬박 월세 날리는 대신 집값보단 안되지만 그 목돈을 보존할 수 있음 추후 돈을 더 보태서 집 살 수 있게끔이 제도는 옛날 은행이자 두둑히 줄 때 생겨난 제도인데 문화적으로 정착되서 지금까지 이어온 거임 아마 니 애미애비도 옛날에 전세 덕분에 괜찮은 집에서 원금 안 까먹고 살다가 나중에 전세 졸업하고 집을 샀었겠지장담하거니와 전세 덕분에 경쟁 품목인 월세 가격가 억제되는 효과도 있었을 거임아 됐고 앞으로 넌 월급의 3050를 월세로 꼬박 꼬박 내고 살어라 그 좋은 선진국 처럼난 이미 집이 있어서 개꿀,0,1
6719,이런 미친 고퀄을 봤나,0,1
6736,동성애 말고 로린이해라,0,1
6748,원래 재산도 꽤 이루시고 자기 잘난맛에 살고 성격 대단하신 분인데10년동안 항암과 재발을 거듭하시고 재산 다 날리고 몸도 말을 안들으니사람이 더 드세지고 말도 안되는 소리하시고 주변인들 괴롭힘짜증나서 안들어주면 애비가 죽어가고 있는데 너는 사는게 즐겁냐이런식으로 못살게 굼 들어주면 끝이 없음온세상이 자기를 중심으로 돌아가야 정상이라 믿음옛날엔 바쁘시고 저녁때 잠깐 얼굴보고 주무셨는데아파서 어디 가시지도 못하고 하루종일 집에서 가족들에게 그러심몸이 아파서 세상만사에 화가 나서 그랬을꺼 같은데10년 간병에 효자 없다는 말을 절절히 깨달음엄마가 불쌍해서 아버지 버리지도 못했어,0,1
6773,마 누구 닭가슴살 하나있으면 줘봐라,1,0
6775,오 멋있다 효자게이는 ㅇㅂ야 질투심에 불탄 게이들말은 무시해라 이기야,1,0
6786,군위 이런데 가면 아직도 김무성 밀어주는 무식한 농촌새끼들 드글드글하다 ㅋㅋ,1,0
6809,지구를 떠나거라,0,1
6821,주식 시장쪽에서는 해운 물류쪽 일손 존나게 딸린다고 그러던데,1,0
6833,나는 좌파쪽 사람들은 아예 사람취급안함,0,1
6835,베츙이들 키보드 존나게조심해라,1,0
6854,와 뭔디 존나 잘 생겼냐,1,0
6858,워워진정좀하고 이리저리 니맘대로안되서 열불이노이불속에서 애미찌찌나만지면서 푹쉬어라 형은 이제 출근준비해야된다 ㅜㅜ,0,1
6865,천하의 ㄱㅐ년이네,0,1
6875,다용도실 저거 오피셜이냐 존나 심각한데,0,1
6883,내 여친은 저정도면은 한줄기오줌발 뿜어대대,1,0
6887,ㄴㄴ 사형,1,0
6893,채순실 국정능력 ㅆㅅㅌㅊ아프리카토인씹넘사벽문재앙공산당180,1,0
6899,시벌 일본한테는 징용공 삼권 분립이라 법원판결을 존중한다며 리얼돌은 왜 법원판결에 개기는거냐,1,0
6901,ㅋ아메리칸 싸이코냐,1,0
6902,설명벳츙이 ㅇㅂ,0,1
6916,진짜 ㄷㄹㅇ들 천지다,0,1
6920,전라도설라디언이 뽑았으니 책임에 대한 댓가를 치뤄야지 물론 선의의 피해자들은 안타깝지만,1,0
6925,글쓴이처럼 나름 주장하는 근거는 1도 없고 그저 개소리 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ답답하다,0,1
6930,국민한테 투표 해봤나 국민 정서를 지가 짓껄이노 지 정서겠지,0,1
6933,개씹소리 쳐하네우리 나라에 소승불교가 있기나 하고승려 법정이 상좌부 불교소승불교라는 퐥트는승려 혜민은 대승불교가 주류인 국내에서도 존나 세속적인 조개종이 내세우고 이후 내쳐진 얼굴마담임,1,0
6936,쥐명박이 짹찍 박근혜 대통령을 하야시키기 위해 노력한 쥐벼룩아 니도 닭장에 들어가니감회가 깁겠구나 어쩜 돌무생이가 구하여 줄라나,0,1
6952,황산으로 풀샤워혀라 죄인아 인간두 아닌 이무기,0,1
6964,저능아좀 가지고 놀아볼까요블박에 딱 저영상만 있다는 가정하에차주 휠이 아닐수도 있다는 여러가지 상황을 유추해봐못하지 왠줄알아 넌 1차원적인 저능아니깐 그래,0,1
6969,캬 전과2범 채무불이행자 응원하는 꼬라지 보소 여윽시 절라도,0,1
6989,역시 세월충 세월과함께 가버려라,0,1
7028,전 깐밤 20알로 점심을ㅋ 해피런치,1,0
7031,낯짝도 두껍지,0,1
7042,한때 알제리 들어가서 학살까지 했던 놈들인데 그 동안 너무 봐준다 싶었음,0,1
7043,한국은 전부 짝퉁이라고 생각하면 편함제대로된 근본은 노에근성밖에 없음,0,1
7062,조만간 권총운지하냐 노이든 ㅋㅋㅋ,1,0
7063,어휴 틀튜브 ㅁㅈㅎ,1,0
7076,천방지축마골피 전형적인 노비혈통아님,1,0
7093,싹다 구속시켜야함ㅇㅂ,0,1
7099,자칭 진보 ㅋㅋㅋ,1,0
7118,오히려 가짜를 진짜 비주얼로 판다면지 발이 저려서 그렇겓는 못하나,1,0
7144,문화혁명만 봐도 모르냐ㅋㅋ 화려했던 자기네 문화도 싹다 파괴해버리는 미개인들인데 저런거 돔덩이 뽑는거 아무것도아님,0,1
7149,시즌 1은 4화부터 ㅈㄴ재밋어짐 시즌 2는 졷노잼,1,0
7164,한남동 단독주택에서 살고싶다,1,0
7171,저 정도면 정신병이라고 봐야지,1,0
7173,아 나 진짜 눈물날 것 같아,1,0
7176,재앙아 트럼프로 대통령 바뀌면 그때도 축하전화 할거냐 한나라대통령이면 신중하게 처신해야는거아니냐 제발 잘하라고 안할테니 가만히좀 있으면 안되겠냐,0,1
7185,종전 몇 십 년 후 이 여성들은 일본 정부로부터 다양한 수준으로 성공을 거둔 정식 사과와 보상을 요구했다 전체 피해자가 20만명으로 추정되는 가운데 대한민국 정부에 등록된 피해자는 240명이며 2020년 10월 현재 16명의 생존자가 있으며 모두 대한민국에서 거주하고 있다중국과 동남아 위안부는 빼고 우리나라만위안부위키백과 우리 모두의 백과사전kowikipediaorgwiki위안부뒤져보지도않고 남이쓰면 무조건 아니다라고하는 이딴놈은 안봐도 멍청도출신이겟지,0,1
7193,노쨩 투신하는장면이 찍혓어야그거 방송해주면 ㄹㅇ 개꿀 ㅋㅋ,0,1
7194,제목이 존나 웃김 ㅋㅋ,1,0
7197,출처 틀튜브,1,0
7200,허세부리는 한남 걸러라,0,1
7201,겸둥 내일 이마트가서 방어회 데리고 올까요,1,0
7203,세월호추모가 시체팔이랑께ㅋㅋㅋㄱㅋㅋㅋㅋ정태우아내가 시체팔이를왜 뭐하러하노ㅋㅋㅋ,0,1
7205,육상왜하냐 자전거만타도 이기는거,0,1
7215,북한이 우리의 주적ㅋㅋㅋㅋ물론 625전쟁은 우리나라의 아픔이지만 같은 민족이다 평화통일만이 답이다 초등학교 졸업은 너가 못했네,0,1
7270,방송이 다 가짠걸 모르는 사람들이나 악플달지 ㅋㅋ,0,1
7281,죄인아 고만 나라 국민 괴롭히고 내려와라 세금이 니 쌈짓돈야 기ㅢ쉑캬,0,1
7335,나는 김치 반찬통안에서 김치 닦아 처먹는거 존나 싫음,1,0
7339,ㅜㅜ리신 홍작가님이 가시다니,1,0
